location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Jersey,2021-07-11,65-69,93.0,92.0
Jersey,2021-07-11,70-74,98.0,97.0
Jersey,2021-07-11,75-79,100.0,100.0
Jersey,2021-07-11,80+,100.0,100.0
Jersey,2021-07-14,0-17,1.0,1.0
Jersey,2021-07-14,18-29,59.0,11.0
Jersey,2021-07-14,30-39,71.0,51.0
Jersey,2021-07-14,40-49,83.0,75.0
Jersey,2021-07-14,50-54,90.0,86.0
Jersey,2021-07-14,55-59,97.0,94.0
Jersey,2021-07-14,60-64,99.0,97.0
Jersey,2021-07-14,65-69,93.0,92.0
Jersey,2021-07-14,70-74,98.0,97.0
Jersey,2021-07-14,75-79,100.0,100.0
Jersey,2021-07-14,80+,100.0,100.0
Jersey,2021-07-18,0-17,1.0,1.0
Jersey,2021-07-18,18-29,60.0,17.0
Jersey,2021-07-18,30-39,71.0,57.0
Jersey,2021-07-18,40-49,84.0,77.0
Jersey,2021-07-18,50-54,90.0,87.0
Jersey,2021-07-18,55-59,97.0,95.0
Jersey,2021-07-18,60-64,99.0,97.0
Jersey,2021-07-18,65-69,93.0,92.0
Jersey,2021-07-18,70-74,99.0,97.0
Jersey,2021-07-18,75-79,100.0,100.0
Jersey,2021-07-18,80+,100.0,100.0
Jersey,2021-07-21,0-17,1.0,1.0
Jersey,2021-07-21,18-29,61.0,25.0
Jersey,2021-07-21,30-39,72.0,59.0
Jersey,2021-07-21,40-49,84.0,78.0
Jersey,2021-07-21,50-54,91.0,87.0
Jersey,2021-07-21,55-59,98.0,95.0
Jersey,2021-07-21,60-64,99.0,97.0
Jersey,2021-07-21,65-69,93.0,92.0
Jersey,2021-07-21,70-74,99.0,97.0
Jersey,2021-07-21,75-79,100.0,100.0
Jersey,2021-07-21,80+,100.0,100.0
Jersey,2021-07-25,0-17,1.0,1.0
Jersey,2021-07-25,18-29,62.0,36.0
Jersey,2021-07-25,30-39,73.0,61.0
Jersey,2021-07-25,40-49,85.0,78.0
Jersey,2021-07-25,50-54,91.0,88.0
Jersey,2021-07-25,55-59,98.0,95.0
Jersey,2021-07-25,60-64,99.0,98.0
Jersey,2021-07-25,65-69,93.0,92.0
Jersey,2021-07-25,70-74,99.0,97.0
Jersey,2021-07-25,75-79,100.0,100.0
Jersey,2021-07-25,80+,100.0,100.0
Jersey,2021-07-28,0-17,1.0,1.0
Jersey,2021-07-28,18-29,63.0,42.0
Jersey,2021-07-28,30-39,73.0,63.0
Jersey,2021-07-28,40-49,85.0,79.0
Jersey,2021-07-28,50-54,91.0,88.0
Jersey,2021-07-28,55-59,98.0,95.0
Jersey,2021-07-28,60-64,100.0,98.0
Jersey,2021-07-28,65-69,93.0,92.0
Jersey,2021-07-28,70-74,99.0,97.0
Jersey,2021-07-28,75-79,100.0,100.0
Jersey,2021-07-28,80+,100.0,100.0
Jersey,2021-08-01,0-17,0.0,0.0
Jersey,2021-08-01,18-29,64.0,46.0
Jersey,2021-08-01,30-39,74.0,65.0
Jersey,2021-08-01,40-49,85.0,80.0
Jersey,2021-08-01,50-54,91.0,88.0
Jersey,2021-08-01,55-59,98.0,96.0
Jersey,2021-08-01,60-64,100.0,98.0
Jersey,2021-08-01,65-69,94.0,93.0
Jersey,2021-08-01,70-74,99.0,97.0
Jersey,2021-08-01,75-79,100.0,100.0
Jersey,2021-08-01,80+,100.0,100.0
Jersey,2021-08-04,0-17,1.0,1.0
Jersey,2021-08-04,18-29,64.0,48.0
Jersey,2021-08-04,30-39,74.0,66.0
Jersey,2021-08-04,40-49,85.0,81.0
Jersey,2021-08-04,50-54,91.0,88.0
Jersey,2021-08-04,55-59,98.0,96.0
Jersey,2021-08-04,60-64,100.0,98.0
Jersey,2021-08-04,65-69,94.0,93.0
Jersey,2021-08-04,70-74,99.0,97.0
Jersey,2021-08-04,75-79,100.0,100.0
Jersey,2021-08-04,80+,100.0,100.0
Jersey,2021-08-08,0-17,10.0,3.0
Jersey,2021-08-08,18-29,64.0,50.0
Jersey,2021-08-08,30-39,74.0,67.0
Jersey,2021-08-08,40-49,85.0,81.0
Jersey,2021-08-08,50-54,92.0,89.0
Jersey,2021-08-08,55-59,98.0,96.0
Jersey,2021-08-08,60-64,100.0,98.0
Jersey,2021-08-08,65-69,94.0,93.0
Jersey,2021-08-08,70-74,99.0,97.0
Jersey,2021-08-08,75-79,100.0,100.0
Jersey,2021-08-08,80+,100.0,100.0
Jersey,2021-08-11,0-17,19.0,3.0
Jersey,2021-08-11,18-29,65.0,52.0
Jersey,2021-08-11,30-39,74.0,67.0
Jersey,2021-08-11,40-49,85.0,81.0
Jersey,2021-08-11,50-54,92.0,89.0
Jersey,2021-08-11,55-59,98.0,96.0
Jersey,2021-08-11,60-64,100.0,98.0
Jersey,2021-08-11,65-69,94.0,93.0
Jersey,2021-08-11,70-74,99.0,97.0
Jersey,2021-08-11,75-79,100.0,100.0
Jersey,2021-08-11,80+,100.0,100.0
Jersey,2021-08-15,0-17,25.0,0.0
Jersey,2021-08-15,18-29,65.0,54.0
Jersey,2021-08-15,30-39,74.0,68.0
Jersey,2021-08-15,40-49,86.0,82.0
Jersey,2021-08-15,50-54,92.0,89.0
Jersey,2021-08-15,55-59,98.0,96.0
Jersey,2021-08-15,60-64,100.0,98.0
Jersey,2021-08-15,65-69,94.0,93.0
Jersey,2021-08-15,70-74,99.0,97.0
Jersey,2021-08-15,75-79,100.0,100.0
Jersey,2021-08-15,80+,100.0,100.0
Jersey,2021-08-18,0-17,28.0,3.0
Jersey,2021-08-18,18-29,65.0,54.0
Jersey,2021-08-18,30-39,74.0,68.0
Jersey,2021-08-18,40-49,86.0,82.0
Jersey,2021-08-18,50-54,92.0,89.0
Jersey,2021-08-18,55-59,98.0,97.0
Jersey,2021-08-18,60-64,100.0,98.0
Jersey,2021-08-18,65-69,94.0,93.0
Jersey,2021-08-18,70-74,99.0,97.0
Jersey,2021-08-18,75-79,100.0,100.0
Jersey,2021-08-18,80+,100.0,100.0
Jersey,2021-08-22,0-17,32.0,3.0
Jersey,2021-08-22,18-29,66.0,56.0
Jersey,2021-08-22,30-39,75.0,69.0
Jersey,2021-08-22,40-49,86.0,83.0
Jersey,2021-08-22,50-54,92.0,89.0
Jersey,2021-08-22,55-59,99.0,97.0
Jersey,2021-08-22,60-64,100.0,98.0
Jersey,2021-08-22,65-69,94.0,93.0
Jersey,2021-08-22,70-74,99.0,97.0
Jersey,2021-08-22,75-79,100.0,100.0
Jersey,2021-08-22,80+,100.0,100.0
Jersey,2021-08-29,0-17,38.0,58.0
Jersey,2021-08-29,18-29,66.0,70.0
Jersey,2021-08-29,30-39,75.0,83.0
Jersey,2021-08-29,40-49,86.0,90.0
Jersey,2021-08-29,50-54,92.0,97.0
Jersey,2021-08-29,55-59,99.0,99.0
Jersey,2021-08-29,60-64,100.0,99.0
Jersey,2021-08-29,65-69,94.0,93.0
Jersey,2021-08-29,70-74,99.0,97.0
Jersey,2021-08-29,75-79,100.0,100.0
Jersey,2021-08-29,80+,100.0,100.0
Jersey,2021-09-01,18-29,67.0,60.0
Jersey,2021-09-01,30-39,75.0,71.0
Jersey,2021-09-01,40-49,86.0,84.0
Jersey,2021-09-01,50-54,92.0,90.0
Jersey,2021-09-01,55-59,99.0,97.0
Jersey,2021-09-01,60-64,100.0,99.0
Jersey,2021-09-01,65-69,94.0,93.0
Jersey,2021-09-01,70-74,99.0,98.0
Jersey,2021-09-01,75-79,100.0,100.0
Jersey,2021-09-01,80+,100.0,100.0
Jersey,2021-09-05,18-29,67.0,60.0
Jersey,2021-09-05,30-39,75.0,71.0
Jersey,2021-09-05,40-49,96.0,84.0
Jersey,2021-09-05,50-54,92.0,90.0
Jersey,2021-09-05,55-59,99.0,98.0
Jersey,2021-09-05,60-64,100.0,99.0
Jersey,2021-09-05,65-69,94.0,94.0
Jersey,2021-09-05,70-74,99.0,98.0
Jersey,2021-09-05,75-79,100.0,100.0
Jersey,2021-09-05,80+,100.0,100.0
Jersey,2021-09-08,18-29,67.0,61.0
Jersey,2021-09-08,30-39,75.0,72.0
Jersey,2021-09-08,40-49,86.0,84.0
Jersey,2021-09-08,50-54,92.0,90.0
Jersey,2021-09-08,55-59,99.0,98.0
Jersey,2021-09-08,60-64,100.0,99.0
Jersey,2021-09-08,65-69,94.0,93.0
Jersey,2021-09-08,70-74,99.0,98.0
Jersey,2021-09-08,75-79,100.0,100.0
Jersey,2021-09-08,80+,100.0,100.0
Jersey,2021-09-12,18-29,67.0,62.0
Jersey,2021-09-12,30-39,75.0,72.0
Jersey,2021-09-12,40-49,86.0,84.0
Jersey,2021-09-12,50-54,92.0,90.0
Jersey,2021-09-12,55-59,99.0,98.0
Jersey,2021-09-12,60-64,100.0,99.0
Jersey,2021-09-12,65-69,94.0,93.0
Jersey,2021-09-12,70-74,99.0,98.0
Jersey,2021-09-12,75-79,100.0,100.0
Jersey,2021-09-12,80+,100.0,100.0
Jersey,2021-09-15,18-29,67.0,62.0
Jersey,2021-09-15,30-39,75.0,72.0
Jersey,2021-09-15,40-49,86.0,84.0
Jersey,2021-09-15,50-54,92.0,90.0
Jersey,2021-09-15,55-59,99.0,98.0
Jersey,2021-09-15,60-64,100.0,99.0
Jersey,2021-09-15,65-69,94.0,94.0
Jersey,2021-09-15,70-74,99.0,98.0
Jersey,2021-09-15,75-79,100.0,100.0
Jersey,2021-09-15,80+,100.0,100.0
Jersey,2021-09-19,18-29,68.0,63.0
Jersey,2021-09-19,30-39,75.0,73.0
Jersey,2021-09-19,40-49,86.0,84.0
Jersey,2021-09-19,50-54,92.0,90.0
Jersey,2021-09-19,55-59,99.0,98.0
Jersey,2021-09-19,60-64,100.0,99.0
Jersey,2021-09-19,65-69,94.0,94.0
Jersey,2021-09-19,70-74,99.0,98.0
Jersey,2021-09-19,75-79,100.0,100.0
Jersey,2021-09-19,80+,100.0,100.0
Jersey,2021-09-22,18-29,68.0,63.0
Jersey,2021-09-22,30-39,76.0,73.0
Jersey,2021-09-22,40-49,86.0,84.0
Jersey,2021-09-22,50-54,92.0,90.0
Jersey,2021-09-22,55-59,99.0,98.0
Jersey,2021-09-22,60-64,100.0,99.0
Jersey,2021-09-22,65-69,94.0,94.0
Jersey,2021-09-22,70-74,99.0,98.0
Jersey,2021-09-22,75-79,100.0,100.0
Jersey,2021-09-22,80+,100.0,100.0
Jersey,2021-09-26,18-29,68.0,63.0
Jersey,2021-09-26,30-39,76.0,73.0
Jersey,2021-09-26,40-49,86.0,84.0
Jersey,2021-09-26,50-54,92.0,91.0
Jersey,2021-09-26,55-59,99.0,98.0
Jersey,2021-09-26,60-64,100.0,100.0
Jersey,2021-09-26,65-69,94.0,94.0
Jersey,2021-09-26,70-74,99.0,98.0
Jersey,2021-09-26,75-79,100.0,100.0
Jersey,2021-09-26,80+,100.0,100.0
Latvia,2021-01-08,18-24,0.31,0.0
Latvia,2021-01-08,25-49,0.54,0.0
Latvia,2021-01-08,50-59,0.66,0.0
Latvia,2021-01-08,60-69,0.49,0.0
Latvia,2021-01-08,70-79,0.12,0.0
Latvia,2021-01-08,80+,0.02,0.0
Latvia,2021-01-15,18-24,0.7,0.0
Latvia,2021-01-15,25-49,1.16,0.0
Latvia,2021-01-15,50-59,1.54,0.0
Latvia,2021-01-15,60-69,1.24,0.0
Latvia,2021-01-15,70-79,0.35,0.0
Latvia,2021-01-15,80+,0.08,0.0
Latvia,2021-01-22,18-24,0.75,0.1
Latvia,2021-01-22,25-49,1.23,0.19
Latvia,2021-01-22,50-59,1.63,0.19
Latvia,2021-01-22,60-69,1.3,0.12
Latvia,2021-01-22,70-79,0.38,0.04
Latvia,2021-01-22,80+,0.08,0.0
Latvia,2021-01-29,18-24,0.76,0.29
Latvia,2021-01-29,25-49,1.25,0.52
Latvia,2021-01-29,50-59,1.65,0.64
Latvia,2021-01-29,60-69,1.31,0.48
Latvia,2021-01-29,70-79,0.38,0.11
Latvia,2021-01-29,80+,0.08,0.02
Latvia,2021-02-05,18-24,0.78,0.62
Latvia,2021-02-05,25-49,1.29,1.04
Latvia,2021-02-05,50-59,1.74,1.42
Latvia,2021-02-05,60-69,1.39,1.13
Latvia,2021-02-05,70-79,0.41,0.31
Latvia,2021-02-05,80+,0.09,0.06
Latvia,2021-02-12,18-24,0.99,0.7
Latvia,2021-02-12,25-49,1.49,1.19
Latvia,2021-02-12,50-59,2.01,1.57
Latvia,2021-02-12,60-69,1.66,1.26
Latvia,2021-02-12,70-79,0.55,0.36
Latvia,2021-02-12,80+,0.26,0.08
Latvia,2021-02-19,18-24,1.17,0.74
Latvia,2021-02-19,25-49,1.82,1.23
Latvia,2021-02-19,50-59,2.59,1.62
Latvia,2021-02-19,60-69,2.28,1.3
Latvia,2021-02-19,70-79,1.45,0.38
Latvia,2021-02-19,80+,1.43,0.08
Latvia,2021-02-26,18-24,1.5,0.75
Latvia,2021-02-26,25-49,2.09,1.25
Latvia,2021-02-26,50-59,3.01,1.64
Latvia,2021-02-26,60-69,2.88,1.32
Latvia,2021-02-26,70-79,6.07,0.39
Latvia,2021-02-26,80+,5.09,0.09
Latvia,2021-03-05,18-24,1.64,0.78
Latvia,2021-03-05,25-49,2.27,1.31
Latvia,2021-03-05,50-59,3.35,1.75
Latvia,2021-03-05,60-69,3.48,1.41
Latvia,2021-03-05,70-79,11.77,0.42
Latvia,2021-03-05,80+,10.0,0.09
Latvia,2021-03-12,18-24,1.75,0.79
Latvia,2021-03-12,25-49,2.4,1.32
Latvia,2021-03-12,50-59,3.6,1.76
Latvia,2021-03-12,60-69,4.12,1.42
Latvia,2021-03-12,70-79,16.26,0.42
Latvia,2021-03-12,80+,13.82,0.09
Latvia,2021-03-19,18-24,1.78,0.82
Latvia,2021-03-19,25-49,2.44,1.36
Latvia,2021-03-19,50-59,3.67,1.82
Latvia,2021-03-19,60-69,4.32,1.47
Latvia,2021-03-19,70-79,17.74,0.53
Latvia,2021-03-19,80+,14.95,0.17
Latvia,2021-03-26,18-24,1.9,0.9
Latvia,2021-03-26,25-49,2.71,1.44
Latvia,2021-03-26,50-59,4.4,1.93
Latvia,2021-03-26,60-69,6.25,1.57
Latvia,2021-03-26,70-79,22.77,1.26
Latvia,2021-03-26,80+,18.85,0.73
Latvia,2021-04-02,18-24,2.15,0.97
Latvia,2021-04-02,25-49,3.2,1.51
Latvia,2021-04-02,50-59,5.59,2.04
Latvia,2021-04-02,60-69,8.69,1.72
Latvia,2021-04-02,70-79,25.57,2.05
Latvia,2021-04-02,80+,20.92,1.34
Latvia,2021-04-09,18-24,2.69,1.0
Latvia,2021-04-09,25-49,4.02,1.54
Latvia,2021-04-09,50-59,7.21,2.09
Latvia,2021-04-09,60-69,13.86,1.79
Latvia,2021-04-09,70-79,28.3,2.43
Latvia,2021-04-09,80+,23.15,1.66
Latvia,2021-04-16,18-24,4.19,1.06
Latvia,2021-04-16,25-49,5.89,1.63
Latvia,2021-04-16,50-59,9.57,2.22
Latvia,2021-04-16,60-69,17.48,1.92
Latvia,2021-04-16,70-79,29.89,2.62
Latvia,2021-04-16,80+,24.43,1.84
Latvia,2021-04-23,18-24,5.03,1.22
Latvia,2021-04-23,25-49,7.99,1.94
Latvia,2021-04-23,50-59,12.57,2.8
Latvia,2021-04-23,60-69,22.03,2.93
Latvia,2021-04-23,70-79,32.07,4.47
Latvia,2021-04-23,80+,26.02,3.3
Latvia,2021-04-30,18-24,6.49,1.56
Latvia,2021-04-30,25-49,10.87,2.28
Latvia,2021-04-30,50-59,16.04,3.42
Latvia,2021-04-30,60-69,26.24,3.93
Latvia,2021-04-30,70-79,34.44,7.91
Latvia,2021-04-30,80+,27.79,6.24
Latvia,2021-05-07,18-24,10.84,1.98
Latvia,2021-05-07,25-49,15.73,3.14
Latvia,2021-05-07,50-59,19.65,4.95
Latvia,2021-05-07,60-69,29.08,6.51
Latvia,2021-05-07,70-79,36.09,12.13
Latvia,2021-05-07,80+,29.07,9.96
Latvia,2021-05-14,18-24,16.25,2.82
Latvia,2021-05-14,25-49,21.74,4.89
Latvia,2021-05-14,50-59,24.65,7.42
Latvia,2021-05-14,60-69,32.28,10.12
Latvia,2021-05-14,70-79,38.24,17.38
Latvia,2021-05-14,80+,30.86,14.46
Latvia,2021-05-21,18-24,20.14,4.54
Latvia,2021-05-21,25-49,25.72,8.19
Latvia,2021-05-21,50-59,28.07,11.55
Latvia,2021-05-21,60-69,34.91,15.57
Latvia,2021-05-21,70-79,39.96,23.05
Latvia,2021-05-21,80+,32.23,19.13
Latvia,2021-05-28,18-24,24.51,9.23
Latvia,2021-05-28,25-49,29.01,13.6
Latvia,2021-05-28,50-59,30.92,16.28
Latvia,2021-05-28,60-69,37.08,20.56
Latvia,2021-05-28,70-79,41.49,28.65
Latvia,2021-05-28,80+,33.39,23.63
Latvia,2021-06-04,18-24,28.32,15.48
Latvia,2021-06-04,25-49,31.3,20.26
Latvia,2021-06-04,50-59,32.92,22.06
Latvia,2021-06-04,60-69,38.76,25.18
Latvia,2021-06-04,70-79,42.75,33.19
Latvia,2021-06-04,80+,34.43,27.23
Latvia,2021-06-11,18-24,31.81,19.73
Latvia,2021-06-11,25-49,33.5,24.71
Latvia,2021-06-11,50-59,34.9,26.44
Latvia,2021-06-11,60-69,40.43,30.13
Latvia,2021-06-11,70-79,43.99,37.05
Latvia,2021-06-11,80+,35.39,30.34
Latvia,2021-06-18,18-24,34.43,24.49
Latvia,2021-06-18,25-49,35.35,28.73
Latvia,2021-06-18,50-59,36.68,30.37
Latvia,2021-06-18,60-69,41.92,34.41
Latvia,2021-06-18,70-79,45.11,40.17
Latvia,2021-06-18,80+,36.25,32.8
Latvia,2021-06-25,18-24,35.27,26.72
Latvia,2021-06-25,25-49,35.98,30.36
Latvia,2021-06-25,50-59,37.24,31.98
Latvia,2021-06-25,60-69,42.41,36.28
Latvia,2021-06-25,70-79,45.46,41.32
Latvia,2021-06-25,80+,36.46,33.67
Latvia,2021-07-02,18-24,37.61,32.22
Latvia,2021-07-02,25-49,37.67,34.26
Latvia,2021-07-02,50-59,39.02,35.69
Latvia,2021-07-02,60-69,44.0,40.59
Latvia,2021-07-02,70-79,46.55,43.75
Latvia,2021-07-02,80+,37.29,35.57
Latvia,2021-07-09,18-24,39.95,35.98
Latvia,2021-07-09,25-49,39.48,37.0
Latvia,2021-07-09,50-59,40.87,38.25
Latvia,2021-07-09,60-69,45.64,42.79
Latvia,2021-07-09,70-79,47.64,45.27
Latvia,2021-07-09,80+,38.03,36.78
Latvia,2021-07-16,18-24,42.13,37.73
Latvia,2021-07-16,25-49,41.11,38.41
Latvia,2021-07-16,50-59,42.58,39.66
Latvia,2021-07-16,60-69,47.05,43.99
Latvia,2021-07-16,70-79,48.46,46.03
Latvia,2021-07-16,80+,38.62,37.43
Latvia,2021-07-23,18-24,44.01,39.72
Latvia,2021-07-23,25-49,42.56,39.8
Latvia,2021-07-23,50-59,44.09,41.06
Latvia,2021-07-23,60-69,48.3,45.27
Latvia,2021-07-23,70-79,49.3,46.89
Latvia,2021-07-23,80+,39.18,38.09
Latvia,2021-07-30,18-24,45.73,41.37
Latvia,2021-07-30,25-49,43.85,41.01
Latvia,2021-07-30,50-59,45.38,42.23
Latvia,2021-07-30,60-69,49.42,46.43
Latvia,2021-07-30,70-79,50.0,47.68
Latvia,2021-07-30,80+,39.7,38.61
Latvia,2021-08-06,18-24,47.27,42.84
Latvia,2021-08-06,25-49,45.03,41.99
Latvia,2021-08-06,50-59,46.68,43.25
Latvia,2021-08-06,60-69,50.5,47.38
Latvia,2021-08-06,70-79,50.68,48.23
Latvia,2021-08-06,80+,40.26,39.01
Latvia,2021-08-13,18-24,48.81,44.18
Latvia,2021-08-13,25-49,46.23,42.94
Latvia,2021-08-13,50-59,47.95,44.28
Latvia,2021-08-13,60-69,51.6,48.26
Latvia,2021-08-13,70-79,51.43,48.89
Latvia,2021-08-13,80+,40.85,39.5
Latvia,2021-08-20,18-24,50.62,45.66
Latvia,2021-08-20,25-49,47.33,43.93
Latvia,2021-08-20,50-59,49.14,45.37
Latvia,2021-08-20,60-69,52.6,49.23
Latvia,2021-08-20,70-79,52.08,49.51
Latvia,2021-08-20,80+,41.37,40.04
Latvia,2021-08-27,18-24,52.51,46.95
Latvia,2021-08-27,25-49,48.43,44.86
Latvia,2021-08-27,50-59,50.28,46.46
Latvia,2021-08-27,60-69,53.52,50.16
Latvia,2021-08-27,70-79,52.67,50.1
Latvia,2021-08-27,80+,41.83,40.51
Latvia,2021-09-03,18-24,54.38,48.27
Latvia,2021-09-03,25-49,49.4,45.78
Latvia,2021-09-03,50-59,51.21,47.46
Latvia,2021-09-03,60-69,54.29,51.06
Latvia,2021-09-03,70-79,53.2,50.73
Latvia,2021-09-03,80+,42.27,40.95
Latvia,2021-09-10,18-24,55.84,49.71
Latvia,2021-09-10,25-49,50.37,46.64
Latvia,2021-09-10,50-59,52.13,48.34
Latvia,2021-09-10,60-69,55.12,51.82
Latvia,2021-09-10,70-79,53.88,51.25
Latvia,2021-09-10,80+,42.75,41.32
Latvia,2021-09-17,18-24,56.91,51.46
Latvia,2021-09-17,25-49,51.3,47.62
Latvia,2021-09-17,50-59,53.09,49.36
Latvia,2021-09-17,60-69,56.06,52.68
Latvia,2021-09-17,70-79,54.63,51.88
Latvia,2021-09-17,80+,43.35,41.78
Latvia,2021-09-24,18-24,58.43,53.79
Latvia,2021-09-24,25-49,52.92,49.21
Latvia,2021-09-24,50-59,54.61,50.84
Latvia,2021-09-24,60-69,57.42,53.89
Latvia,2021-09-24,70-79,55.66,52.71
Latvia,2021-09-24,80+,44.15,42.52
Lithuania,2021-01-01,18-24,0.04,0.0
Lithuania,2021-01-01,25-49,0.14,0.0
Lithuania,2021-01-01,50-59,0.17,0.0
Lithuania,2021-01-01,60-69,0.1,0.0
Lithuania,2021-01-01,70-79,0.01,0.0
Lithuania,2021-01-08,18-24,0.35,0.0
Lithuania,2021-01-08,25-49,1.06,0.0
Lithuania,2021-01-08,50-59,1.78,0.0
Lithuania,2021-01-08,60-69,1.38,0.0
Lithuania,2021-01-08,70-79,0.25,0.0
Lithuania,2021-01-08,80+,0.12,0.0
Lithuania,2021-01-15,18-24,0.72,0.03
Lithuania,2021-01-15,25-49,2.06,0.07
Lithuania,2021-01-15,50-59,3.58,0.05
Lithuania,2021-01-15,60-69,3.02,0.03
Lithuania,2021-01-15,70-79,1.1,0.0
Lithuania,2021-01-15,80+,1.6,0.0
Lithuania,2021-01-22,18-24,0.82,0.14
Lithuania,2021-01-22,25-49,2.33,0.45
Lithuania,2021-01-22,50-59,4.01,0.67
Lithuania,2021-01-22,60-69,3.47,0.44
Lithuania,2021-01-22,70-79,1.37,0.06
Lithuania,2021-01-22,80+,2.48,0.0
Lithuania,2021-01-29,18-24,1.18,0.31
Lithuania,2021-01-29,25-49,2.98,0.98
Lithuania,2021-01-29,50-59,4.74,1.64
Lithuania,2021-01-29,60-69,4.05,1.26
Lithuania,2021-01-29,70-79,1.54,0.23
Lithuania,2021-01-29,80+,2.94,0.08
Lithuania,2021-02-05,18-24,1.29,0.61
Lithuania,2021-02-05,25-49,3.26,1.84
Lithuania,2021-02-05,50-59,5.19,3.22
Lithuania,2021-02-05,60-69,4.44,2.68
Lithuania,2021-02-05,70-79,1.65,0.93
Lithuania,2021-02-05,80+,3.26,1.35
Lithuania,2021-02-12,18-24,1.58,0.73
Lithuania,2021-02-12,25-49,4.11,2.12
Lithuania,2021-02-12,50-59,6.73,3.66
Lithuania,2021-02-12,60-69,5.65,3.11
Lithuania,2021-02-12,70-79,1.9,1.14
Lithuania,2021-02-12,80+,3.64,2.15
Lithuania,2021-02-19,18-24,1.72,1.07
Lithuania,2021-02-19,25-49,4.57,2.75
Lithuania,2021-02-19,50-59,7.72,4.4
Lithuania,2021-02-19,60-69,6.59,3.7
Lithuania,2021-02-19,70-79,2.96,1.34
Lithuania,2021-02-19,80+,9.0,2.63
Lithuania,2021-02-26,18-24,1.8,1.17
Lithuania,2021-02-26,25-49,4.76,2.98
Lithuania,2021-02-26,50-59,8.15,4.76
Lithuania,2021-02-26,60-69,7.7,4.03
Lithuania,2021-02-26,70-79,8.14,1.4
Lithuania,2021-02-26,80+,23.31,2.89
Lithuania,2021-03-05,18-24,1.89,1.34
Lithuania,2021-03-05,25-49,4.92,3.31
Lithuania,2021-03-05,50-59,8.45,5.78
Lithuania,2021-03-05,60-69,9.09,5.21
Lithuania,2021-03-05,70-79,18.17,1.62
Lithuania,2021-03-05,80+,32.18,3.27
Lithuania,2021-03-12,18-24,1.99,1.42
Lithuania,2021-03-12,25-49,5.04,3.46
Lithuania,2021-03-12,50-59,8.68,6.32
Lithuania,2021-03-12,60-69,11.92,5.91
Lithuania,2021-03-12,70-79,29.04,2.36
Lithuania,2021-03-12,80+,35.71,6.69
Lithuania,2021-03-19,18-24,2.04,1.47
Lithuania,2021-03-19,25-49,5.13,3.62
Lithuania,2021-03-19,50-59,8.9,6.71
Lithuania,2021-03-19,60-69,14.02,6.69
Lithuania,2021-03-19,70-79,33.46,4.69
Lithuania,2021-03-19,80+,36.86,15.4
Lithuania,2021-03-26,18-24,2.42,1.55
Lithuania,2021-03-26,25-49,5.73,3.75
Lithuania,2021-03-26,50-59,10.0,6.96
Lithuania,2021-03-26,60-69,18.91,7.28
Lithuania,2021-03-26,70-79,40.62,9.56
Lithuania,2021-03-26,80+,39.44,21.63
Lithuania,2021-04-02,18-24,4.34,1.64
Lithuania,2021-04-02,25-49,7.15,3.84
Lithuania,2021-04-02,50-59,12.03,7.13
Lithuania,2021-04-02,60-69,24.32,8.34
Lithuania,2021-04-02,70-79,47.48,15.63
Lithuania,2021-04-02,80+,41.94,25.27
Lithuania,2021-04-09,18-24,8.15,1.69
Lithuania,2021-04-09,25-49,9.81,3.91
Lithuania,2021-04-09,50-59,15.95,7.3
Lithuania,2021-04-09,60-69,32.21,9.41
Lithuania,2021-04-09,70-79,54.03,18.15
Lithuania,2021-04-09,80+,44.36,26.36
Lithuania,2021-04-16,18-24,10.13,1.76
Lithuania,2021-04-16,25-49,12.17,4.06
Lithuania,2021-04-16,50-59,19.55,7.63
Lithuania,2021-04-16,60-69,38.84,11.08
Lithuania,2021-04-16,70-79,59.1,22.03
Lithuania,2021-04-16,80+,46.9,27.78
Lithuania,2021-04-23,18-24,12.75,1.97
Lithuania,2021-04-23,25-49,14.46,4.55
Lithuania,2021-04-23,50-59,22.87,8.39
Lithuania,2021-04-23,60-69,43.43,14.26
Lithuania,2021-04-23,70-79,61.95,28.13
Lithuania,2021-04-23,80+,48.5,30.09
Lithuania,2021-04-30,18-24,14.46,3.82
Lithuania,2021-04-30,25-49,16.79,5.62
Lithuania,2021-04-30,50-59,26.93,10.29
Lithuania,2021-04-30,60-69,47.73,20.02
Lithuania,2021-04-30,70-79,63.23,34.15
Lithuania,2021-04-30,80+,49.42,32.42
Lithuania,2021-05-07,18-24,16.87,5.75
Lithuania,2021-05-07,25-49,21.38,7.45
Lithuania,2021-05-07,50-59,32.31,13.41
Lithuania,2021-05-07,60-69,51.77,27.13
Lithuania,2021-05-07,70-79,64.62,40.77
Lithuania,2021-05-07,80+,50.34,35.95
Lithuania,2021-05-14,18-24,19.36,7.95
Lithuania,2021-05-14,25-49,25.73,9.18
Lithuania,2021-05-14,50-59,37.7,16.08
Lithuania,2021-05-14,60-69,55.94,31.4
Lithuania,2021-05-14,70-79,65.76,44.68
Lithuania,2021-05-14,80+,51.25,38.92
Lithuania,2021-05-21,18-24,21.33,9.72
Lithuania,2021-05-21,25-49,29.34,11.54
Lithuania,2021-05-21,50-59,42.15,20.03
Lithuania,2021-05-21,60-69,58.62,36.05
Lithuania,2021-05-21,70-79,66.54,48.48
